scenario,category,testName,userPrompt,Assert1,Assert2,Assert3,Assert4,Assert5,Assert6,Assert7,Assert8,Assert9,tags,relativeFilePathFromEvals
RTE Hyperlinks - Add New Content with Links,type2,Add call-to-action link with descriptive text,Add a paragraph with a call to action: 'Ready to get started? Click here to begin your journey' where 'Click here to begin your journey' is a bold link to https://start.contoso.com/onboarding,Page should contain exactly 1 Text web part,Text web part content should contain links,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Create resource list with links,"Add a bulleted list titled 'Quick Links' with the following items as clickable links: 'Company Handbook' linking to https://handbook.contoso.com, 'Benefits Portal' linking to https://benefits.contoso.com, 'Training Calendar' linking to https://training.contoso.com/calendar",Page should contain exactly 1 Text web part,"Text web part content should contain links, links, links",,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Add download file link,Add a paragraph that says 'Download the latest version of our Product Catalog (PDF)' where 'Product Catalog (PDF)' is a link to https://files.contoso.com/catalog-2026.pdf,Text web part content should contain links,,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Update all old domain links to new domain,Update all links on the page to use the new domain docs.contoso.com instead of old.contoso.com,All links should be updated from old.contoso.com to docs.contoso.com domain (3+ occurrences),,,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Hyperlinks - Add New Content with Links,type2,Add link in quote block,"Add a block quote that says 'For more details, see the official Microsoft documentation at Microsoft Docs' where 'Microsoft Docs' links to https://docs.microsoft.com",Page should contain exactly 1 Text web part,"Text web part content should contain blockquote, links",,,,,,,,SharePointPage webpart RichTextEditor Hyperlinks,webparts/RTE/rte-hyperlinks-type-2-tests.json
RTE Paragraphs and Headings,type1,Add heading with paragraph in one request,Add a Heading 2 'Getting Started' followed by a paragraph that explains how to access the company portal and set up your account,Page should contain exactly 1 Text web part,"The text ""Getting Started"" must be added as a Heading 2","A paragraph must appear directly below the ""Getting Started"" heading",The paragraph must describe how to access the company portal and set up an account,,,,,,SharePointPage webpart RichTextEditor Headings Paragraphs,webparts/RTE/rte-paragraphs-headings-tests.json
RTE Paragraphs and Headings,type1,Convert paragraph to heading and update following text,Make 'Introduction to Our Company' a Heading 2 and update the paragraph below it to say 'We are the industry leader in technology solutions.',"The text ""Introduction to Our Company"" must be formatted as a Heading 2","The paragraph immediately below must be updated to ""We are the industry leader in technology solutions.""",The updated paragraph must remain directly below the heading,,,,,,,SharePointPage webpart RichTextEditor Headings Paragraphs,webparts/RTE/rte-paragraphs-headings-tests.json
RTE Paragraphs and Headings,type1,Restructure content with new headings and paragraphs,"Reorganize the page: add H2 'Employee Guide', then H3 'First Week' with the chapter 1 content, then H3 'Company Policies' with the chapter 2 content","The page must include a Heading 2 titled ""Employee Guide""","The page must include a Heading 3 titled ""First Week""","The ""First Week"" section must contain the content from chapter 1","The page must include a Heading 3 titled ""Company Policies""","The ""Company Policies"" section must contain the content from chapter 2",,,,,SharePointPage webpart RichTextEditor Headings Paragraphs,webparts/RTE/rte-paragraphs-headings-tests.json
RTE Paragraphs and Headings,type1,Add conclusion section with heading and summary,Add a conclusion section at the end with a Heading 2 'Summary' and a paragraph summarizing that the project aims to improve efficiency by 30%,The page must include a new section at the end,"The section must contain a Heading 2 titled ""Summary""","A paragraph must appear below the ""Summary"" heading",The paragraph must reference improving efficiency by 30%,,,,,,SharePointPage webpart RichTextEditor Headings Paragraphs,webparts/RTE/rte-paragraphs-headings-tests.json
RTE Paragraphs and Headings,type1,Create FAQ section with multiple Q&A,"Create a FAQ section with H2 'Frequently Asked Questions', then add H3 'How do I reset my password?' with answer paragraph, and H3 'Who do I contact for IT support?' with answer paragraph mentioning helpdesk@company.com","The page must include a Heading 2 titled ""Frequently Asked Questions""","The page must include a Heading 3 titled ""How do I reset my password?"" A paragraph must appear immediately after this heading and contain non-empty answer text.
","The page must include a Heading 3 titled ""Who do I contact for IT support?"" A paragraph must appear below this heading containing the email ""helpdesk@company.com""","Both Heading 3 FAQ items must appear after the ""Frequently Asked Questions"" Heading 2.",No Heading 3 FAQ items may appear outside the FAQ section.,Each FAQ heading must be followed by exactly one paragraph (no missing or duplicate answer blocks).,,,,SharePointPage webpart RichTextEditor Headings Paragraphs,webparts/RTE/rte-paragraphs-headings-tests.json
RTE Paragraphs - Modify Existing Content,type1,Update paragraph text content,Change the welcome paragraph to say 'Welcome to the updated company resources hub. We are here to help you succeed.',Page must contain at least one Text web part,"The welcome paragraph must be updated to ""Welcome to the updated company resources hub. We are here to help you succeed.""","The paragraph must replace the existing welcome text, not be added as a duplicate",,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Rewrite paragraph for clarity,Rewrite the paragraph under 'Our Mission' to be more concise: 'We empower businesses with innovative technology solutions.',"The paragraph under the heading ""Our Mission"" must be updated to ""We empower businesses with innovative technology solutions.""","The paragraph must replace the existing content, not be added as a duplicate",,,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Replace company name in paragraph,Replace all mentions of 'contoso' with 'Fabrikam' in the page content,"All instances of the text ""contoso"" must be replaced with ""Fabrikam""",,,,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Split long paragraph into multiple,"Split the product description into separate paragraphs: one for the overview, one for modules, one for integration, and one for user features",The original product description is split into exactly 4 paragraphs,"The 4 paragraphs appear in this order:

Overview
Modules
Integration
User features",Paragraph 1 contains overview content describing the product at a high level,Paragraph 2 contains modules content describing components or parts of the product,Paragraph 3 contains integration content describing connections with other systems,Paragraph 4 contains user features content describing end-user capabilities,"No paragraph is empty, duplicated, or merged with another topic",,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Merge Text web parts together,Merge the three Text web parts in the first section into one web part,First section contains exactly 1 Text web part,Final Text web part contains all content from the original 3 Text web parts,Original content order is preserved (Text web part 1 → 2 → 3),All original text segments are present via string match or hash comparison,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Update paragraph in left column,Update the left column paragraph to say 'This is updated left column content with new information.',"The paragraph in the left column must be updated to ""This is updated left column content with new information.""",The update must apply only to the left column,,,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Expand brief paragraph with more detail,Expand the welcome paragraph to include information about our office hours (9 AM to 5 PM) and main contact number (555-1234),"The welcome paragraph must include office hours ""9 AM to 5 PM""","The welcome paragraph must include the contact number ""555-1234""",The paragraph remains descriptive and readable (not just appended values).,,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Update paragraph under specific heading,Change the paragraph under 'Background' to say 'This initiative started in 2024 to modernize our customer experience platform.',"The paragraph under the heading ""Background"" must be updated to ""This initiative started in 2024 to modernize our customer experience platform.""",,,,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Remove a paragraph from content,Remove the paragraph that mentions 'Phase 1' and 'Phase 2' milestones,"No paragraph on the page contains the text ""Phase 1"" or ""Phase 2""","All content referencing ""Phase 1"" or ""Phase 2"" is removed, not hidden or modified",,,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
RTE Paragraphs - Modify Existing Content,type1,Update paragraphs in both columns,In the left column change 'Team Size' to '30 members' and in the right column add that the team works remotely on Fridays,"Left column:

Contains numeric value 30
Includes a team-size-related keyword (“team,” “members,” “people”)","Right column:

Contains keyword “Friday(s)”
Includes a remote-work-related keyword (“remote,” “work from home,” “offsite”)","No overlap:

“30” does not appear in the right column
“Friday(s)”/remote keywords do not appear in the left column",,,,,,,SharePointPage webpart RichTextEditor Paragraphs fixed,webparts/RTE/rte-paragraphs-type-1-tests.json
